#type	charge(e)	radius(A)	epsilon(kJ.mol-1)	mass(Da)	transferIMP(kJ.mol-1.A-2
KCD	-0.0479	1.908	0.1094	12.01	-0.105
KCE	-0.0143	1.908	0.1094	12.01	-0.105
KCG	0.0187	1.908	0.1094	12.01	-0.105
KH	0.2747	0.6	0.0157	1.008	0.0362
KHA	0.1426	1.387	0.0157	1.008	-0.0397
KHB2	0.0362	1.487	0.0157	1.008	-0.0397
KHB3	0.0362	1.487	0.0157	1.008	-0.0397
KHD2	0.0621	1.487	0.0157	1.008	-0.0397
KHD3	0.0621	1.487	0.0157	1.008	-0.0397
KHE2	0.1135	1.1	0.0157	1.008	-0.0397
KHE3	0.1135	1.1	0.0157	1.008	-0.0397
KHG2	0.0103	1.487	0.0157	1.008	-0.0397
KHG3	0.0103	1.487	0.0157	1.008	-0.0397
KHZ1	0.34	0.6	0.0157	1.008	0.0362
KHZ2	0.34	0.6	0.0157	1.008	0.0362
KHZ3	0.34	0.6	0.0157	1.008	0.0362
KN	-0.3479	1.824	0.17	14.01	0.112
KNZ	-0.3854	1.824	0.17	14.01	0.112
KO	-0.5894	1.6612	0.21	16.0	0.0403
LC	0.5973	1.908	0.086	12.01	-0.0134
LCA	-0.0518	1.908	0.1094	12.01	-0.105
LCB	-0.1102	1.908	0.1094	12.01	-0.105
LCD1	-0.4121	1.908	0.1094	12.01	-0.105
LCD2	-0.4121	1.908	0.1094	12.01	-0.105
LCG	0.3531	1.908	0.1094	12.01	-0.105
LH	0.2719	0.6	0.0157	1.008	0.0362
LHA	0.0922	1.387	0.0157	1.008	-0.0397
LHB2	0.0457	1.487	0.0157	1.008	-0.0397
LHB3	0.0457	1.487	0.0157	1.008	-0.0397
LHD11	0.1	1.487	0.0157	1.008	-0.0397
LHD12	0.1	1.487	0.0157	1.008	-0.0397
LHD13	0.1	1.487	0.0157	1.008	-0.0397
LHD21	0.1	1.487	0.0157	1.008	-0.0397
LHD22	0.1	1.487	0.0157	1.008	-0.0397
LHD23	0.1	1.487	0.0157	1.008	-0.0397
LHG	-0.0361	1.487	0.0157	1.008	-0.0397
LN	-0.4157	1.824	0.17	14.01	0.112
LO	-0.5679	1.6612	0.21	16.0	0.0403
MC	0.5973	1.908	0.086	12.01	-0.0134
MCA	-0.0237	1.908	0.1094	12.01	-0.105
MCB	0.0342	1.908	0.1094	12.01	-0.105
MCE	-0.0536	1.908	0.1094	12.01	-0.105
MCG	0.0018	1.908	0.1094	12.01	-0.105
MH	0.2719	0.6	0.0157	1.008	0.0362
MHA	0.088	1.387	0.0157	1.008	-0.0397
MHB2	0.0241	1.487	0.0157	1.008	-0.0397
MHB3	0.0241	1.487	0.0157	1.008	-0.0397
MHE1	0.0684	1.387	0.0157	1.008	-0.0397
MHE2	0.0684	1.387	0.0157	1.008	-0.0397
MHE3	0.0684	1.387	0.0157	1.008	-0.0397
MHG2	0.044	1.387	0.0157	1.008	-0.0397
MHG3	0.044	1.387	0.0157	1.008	-0.0397
MN	-0.4157	1.824	0.17	14.01	0.112
MO	-0.5679	1.6612	0.21	16.0	0.0403
MSD	-0.2737	2.0	0.25	32.06	-0.108
NC	0.5973	1.908	0.086	12.01	-0.0134
NCA	0.0143	1.908	0.1094	12.01	-0.105
NCB	-0.2041	1.908	0.1094	12.01	-0.105
NCG	0.713	1.908	0.086	12.01	-0.0134
NH	0.2719	0.6	0.0157	1.008	0.0362
NHA	0.1048	1.387	0.0157	1.008	-0.0397
NHB2	0.0797	1.487	0.0157	1.008	-0.0397
NHB3	0.0797	1.487	0.0157	1.008	-0.0397
NHD21	0.4196	0.6	0.0157	1.008	0.0362
NHD22	0.4196	0.6	0.0157	1.008	0.0362
NN	-0.4157	1.824	0.17	14.01	0.112
NND2	-0.9191	1.824	0.17	14.01	0.112
NO	-0.5679	1.6612	0.21	16.0	0.0403
NOD1	-0.5931	1.6612	0.21	16.0	0.0403
PC	0.5896	1.908	0.086	12.01	-0.0134
PCA	-0.0266	1.908	0.1094	12.01	-0.105
PCB	-0.007	1.908	0.1094	12.01	-0.105
PCD	0.0192	1.908	0.1094	12.01	-0.105
PCG	0.0189	1.908	0.1094	12.01	-0.105
PHA	0.0641	1.387	0.0157	1.008	-0.0397
PHB2	0.0253	1.487	0.0157	1.008	-0.0397
PHB3	0.0253	1.487	0.0157	1.008	-0.0397
PHD2	0.0391	1.387	0.0157	1.008	-0.0397
PHD3	0.0391	1.387	0.0157	1.008	-0.0397
PHG2	0.0213	1.487	0.0157	1.008	-0.0397
PHG3	0.0213	1.487	0.0157	1.008	-0.0397
PN	-0.2548	1.824	0.17	14.01	0.112
PO	-0.5748	1.6612	0.21	16.0	0.0403
QC	0.5973	1.908	0.086	12.01	-0.0134
QCA	-0.0031	1.908	0.1094	12.01	-0.105
QCB	-0.0036	1.908	0.1094	12.01	-0.105
QCD	0.6951	1.908	0.086	12.01	-0.0134
QCG	-0.0645	1.908	0.1094	12.01	-0.105
QH	0.2719	0.6	0.0157	1.008	0.0362
QHA	0.085	1.387	0.0157	1.008	-0.0397
QHB2	0.0171	1.487	0.0157	1.008	-0.0397
QHB3	0.0171	1.487	0.0157	1.008	-0.0397
QHE21	0.4251	0.6	0.0157	1.008	0.0362
QHE22	0.4251	0.6	0.0157	1.008	0.0362
QHG2	0.0352	1.487	0.0157	1.008	-0.0397
